"city","city_ascii","lat","lng","country","iso2","iso3","admin_name","capital","population","id"
"Qitaihe","Qitaihe","45.8000","130.8500","China","CN","CHN","Heilongjiang","","450617","1156875484"
"Chenzhou","Chenzhou","25.8004","113.0301","China","CN","CHN","Hunan","minor","322997","1156291915"
"Nanjing","Nanjing","32.0500","118.7800","China","CN","CHN","Jiangsu","admin","3679000","1156644065"
"Nantong","Nantong","32.0304","120.8250","China","CN","CHN","Jiangsu","minor","947000","1156045365"
"Yangzhou","Yangzhou","32.4000","119.4300","China","CN","CHN","Jiangsu","","539715","1156818601"
"Zhenjiang","Zhenjiang","32.2200","119.4300","China","CN","CHN","Jiangsu","minor","854000","1156934125"
"Taizhou","Taizhou","32.4904","119.9000","China","CN","CHN","Jiangsu","minor","612356","1156119229"
"Suzhou","Suzhou","31.3005","120.6200","China","CN","CHN","Jiangsu","minor","1650000","1156029196"
"Jiaojing","Jiaojing","28.6804","121.4500","China","CN","CHN","Zhejiang","","471500","1156812073"
"Jiaxing","Jiaxing","30.7704","120.7500","China","CN","CHN","Zhejiang","minor","988000","1156491661"
"Hangzhou","Hangzhou","30.2500","120.1700","China","CN","CHN","Zhejiang","admin","3007000","1156275243"
"Huzhou","Huzhou","30.8704","120.1000","China","CN","CHN","Zhejiang","minor","1231000","1156335543"
"Huangyan","Huangyan","28.6500","121.2500","China","CN","CHN","Zhejiang","","198713","1156149186"
"Linhai","Linhai","28.8500","121.1200","China","CN","CHN","Zhejiang","","251759","1156451663"
"Wenzhou","Wenzhou","28.0200","120.6501","China","CN","CHN","Zhejiang","","2350000","1156188829"
"Jinhua","Jinhua","29.1200","119.6500","China","CN","CHN","Zhejiang","minor","1092852","1156547188"
"Lishui","Lishui","28.4504","119.9000","China","CN","CHN","Zhejiang","minor","172777","1156858793"
"Quzhou","Quzhou","28.9704","118.8700","China","CN","CHN","Zhejiang","","370000","1156180376"
"Fuyang","Fuyang","30.0533","119.9519","China","CN","CHN","Zhejiang","minor","771000","1156340393"
"Wafangdian","Wafangdian","39.6259","121.9960","China","CN","CHN","Liaoning","","355844","1156476417"
"Zhuanghe","Zhuanghe","39.6823","122.9619","China","CN","CHN","Liaoning","","261510","1156410076"
"Dalian","Dalian","38.9228","121.6298","China","CN","CHN","Liaoning","","3167000","1156175472"
"Siping","Siping","43.1700","124.3300","China","CN","CHN","Jilin","","555609","1156063295"
"Dandong","Dandong","40.1436","124.3936","China","CN","CHN","Liaoning","","870000","1156178316"
"Huanren","Huanren","41.2563","125.3460","China","CN","CHN","Liaoning","","116621","1156625066"
